time,gFx,gFy,gFz,gFTotal
0.0052890777587890625,-0.042,-0.688,-0.777,1.039
0.014238834381103516,-0.042,-0.69,-0.769,1.034
0.024218082427978516,-0.045,-0.699,-0.761,1.034
0.03499889373779297,-0.045,-0.707,-0.754,1.035
0.045033931732177734,-0.045,-0.714,-0.741,1.03
0.07314300537109375,-0.054,-0.723,-0.702,1.009
0.07332801818847656,-0.054,-0.723,-0.702,1.009
0.07440686225891113,-0.063,-0.723,-0.684,0.997
0.08465003967285156,-0.07,-0.719,-0.671,0.986
0.09452676773071289,-0.076,-0.713,-0.664,0.977
0.10460376739501953,-0.078,-0.708,-0.663,0.973
0.11531686782836914,-0.078,-0.7,-0.669,0.971
0.1254589557647705,-0.074,-0.694,-0.679,0.974
0.13527202606201172,-0.068,-0.688,-0.688,0.975
0.1458578109741211,-0.06,-0.684,-0.698,0.979
0.17165803909301758,-0.044,-0.692,-0.719,0.999
0.17185497283935547,-0.044,-0.692,-0.719,0.999
0.17493391036987305,-0.038,-0.701,-0.729,1.012
0.18501591682434082,-0.031,-0.706,-0.733,1.018
0.19498896598815918,-0.024,-0.708,-0.732,1.019
0.20504188537597656,-0.022,-0.714,-0.731,1.022
0.21583890914916992,-0.024,-0.719,-0.732,1.026
0.22597599029541016,-0.026,-0.721,-0.731,1.027
0.23568487167358398,-0.033,-0.719,-0.727,1.023
0.2462158203125,-0.042,-0.716,-0.723,1.018
0.2746119499206543,-0.059,-0.718,-0.708,1.01
0.2750530242919922,-0.065,-0.72,-0.7,1.006
0.2761049270629883,-0.065,-0.72,-0.7,1.006
0.2853119373321533,-0.068,-0.719,-0.69,0.999
0.2955160140991211,-0.069,-0.716,-0.682,0.991
0.30612707138061523,-0.068,-0.711,-0.68,0.986
0.31615400314331055,-0.023,-0.699,-0.726,1.008
0.3267228603363037,-0.027,-0.683,-0.763,1.024
0.33611583709716797,-0.066,-0.702,-0.726,1.012
0.3465290069580078,-0.043,-0.715,-0.73,1.023
0.3775320053100586,-0.134,-0.696,-0.63,0.948
0.3777279853820801,-0.134,-0.696,-0.63,0.948
0.37788891792297363,-0.134,-0.696,-0.63,0.948
0.3857388496398926,-0.05,-0.72,-0.737,1.032
0.3965718746185303,-0.133,-0.682,-0.613,0.927
0.40659093856811523,-0.113,-0.691,-0.637,0.947
0.4166560173034668,-0.093,-0.695,-0.663,0.965
0.4265859127044678,-0.078,-0.696,-0.688,0.982
0.4368119239807129,-0.066,-0.697,-0.709,0.996
0.4468519687652588,-0.056,-0.698,-0.727,1.009
0.47485780715942383,-0.046,-0.704,-0.744,1.025
0.4750518798828125,-0.046,-0.704,-0.744,1.025
0.47632884979248047,-0.043,-0.706,-0.743,1.026
0.48613786697387695,-0.041,-0.708,-0.737,1.023
0.4960348606109619,-0.041,-0.709,-0.725,1.015
0.5068459510803223,-0.042,-0.711,-0.713,1.008
0.5168447494506836,-0.046,-0.711,-0.703,1.001
0.5274028778076172,-0.051,-0.709,-0.697,0.996
0.5369467735290527,-0.057,-0.707,-0.694,0.992
0.5472738742828369,-0.064,-0.704,-0.693,0.99
0.576807975769043,-0.073,-0.696,-0.706,0.994
0.5770068168640137,-0.073,-0.696,-0.706,0.994
0.5771708488464355,-0.073,-0.696,-0.706,0.994
0.5864157676696777,-0.075,-0.696,-0.71,0.997
0.5973520278930664,-0.076,-0.697,-0.711,0.999
0.6073238849639893,-0.077,-0.696,-0.709,0.997
0.6171607971191406,-0.076,-0.696,-0.706,0.994
0.6275100708007812,-0.074,-0.696,-0.702,0.991
0.6370978355407715,-0.072,-0.698,-0.699,0.99
0.6476178169250488,-0.071,-0.7,-0.7,0.992
0.6595759391784668,-0.069,-0.702,-0.7,0.994
0.6762099266052246,-0.067,-0.704,-0.706,0.999
0.6774458885192871,-0.067,-0.704,-0.706,0.999
0.6949639320373535,-0.066,-0.705,-0.708,1.001
0.6967298984527588,-0.066,-0.705,-0.709,1.002
0.709265947341919,-0.065,-0.705,-0.709,1.002
0.7173447608947754,-0.063,-0.706,-0.708,1.002
0.7280519008636475,-0.061,-0.708,-0.708,1.003
0.737839937210083,-0.058,-0.71,-0.707,1.004
0.7480168342590332,-0.057,-0.711,-0.706,1.004
0.7785699367523193,-0.058,-0.706,-0.707,1.001
0.7787599563598633,-0.058,-0.706,-0.707,1.001
